,Compound,Date,Negative,Neutral,News Channel,Positive,Tweet Text,Tweets Ago
59,0.0,Wed Sep 26 07:31:04 +0000 2018,1.0,0.0,@BBC,0.0,"Students can take a David Bowie course at Leeds University. ✍🎓 

📻👉 https://t.co/4jPPrnAK5S https://t.co/0ISuNTEZ5b",60
60,0.0,Wed Sep 26 07:02:07 +0000 2018,1.0,0.0,@BBC,0.0,"From Hawarden to Mount Snowdon, it's #MonkmanAndSeagull's Guide To Wales! 🙌 @e_monkman @bobby_seagull 

https://t.co/witW8qatbV",61
61,0.296,Tue Sep 25 20:03:05 +0000 2018,0.855,0.0,@BBC,0.145,"Tonight @JessGlynne, @idlesband, @softcellhq, @Ralph_McTell, @KingPrincess69 and @HakBaker join Jools on the first… https://t.co/Lb6VCJ3eQI",62
62,0.4019,Tue Sep 25 19:03:06 +0000 2018,0.863,0.0,@BBC,0.137,"Christopher Eccleston narrates a film which asks whether, a century later, the lessons learnt in 1918 might help us… https://t.co/BiR6nIr1bz",63
63,0.0,Tue Sep 25 16:32:49 +0000 2018,1.0,0.0,@BBC,0.0,"RT @BBCOne: **BREAKING** Meet your 2018 candidates, as introduced by @MattEdmondson on @bbciplayer &gt;&gt; https://t.co/oUaGVpPBuf

#TheApprenti…",64
64,0.6114,Tue Sep 25 16:02:03 +0000 2018,0.715,0.0,@BBC,0.285,"Happy birthday to the one and only Will Smith! 🎉🎈

https://t.co/CqmihTvPYW",65
65,0.5267,Tue Sep 25 15:02:02 +0000 2018,0.685,0.089,@BBC,0.226,".@BTS_twt have now gone where no K-pop group has gone before: The United Nations.

In a powerful speech, Kim Nam-jo… https://t.co/bkZFU5VfFX",66
66,0.0,Tue Sep 25 14:00:23 +0000 2018,1.0,0.0,@BBC,0.0,"🔤Scrabble players will now be able to use words such as ""OK"" and ""ew"" after a US dictionary company announced it wa… https://t.co/kMHWzb8Gwi",67
67,0.0,Tue Sep 25 13:05:02 +0000 2018,1.0,0.0,@BBC,0.0,"In Sweden, you get paid double to be a parent.

(Via @BBCThree)

https://t.co/daXes3fiZX",68
68,0.0,Tue Sep 25 12:32:05 +0000 2018,1.0,0.0,@BBC,0.0,Indonesian teenager survives 49 days adrift at sea in 'fishing hut'. https://t.co/5rKpohNfRi https://t.co/qlRvoxZGe2,69
69,0.0,Tue Sep 25 11:03:05 +0000 2018,1.0,0.0,@BBC,0.0,"This is what happens when you teach African teenage girls to fly. ✈️

https://t.co/1Kp4Ael1FO",70
70,0.0,Tue Sep 25 10:39:01 +0000 2018,1.0,0.0,@BBC,0.0,"RT @bbcpress: 👉 Meet the new #TheApprentice contestants. Who will be the first to hear the words ""you're fired""? Series starts 3 October on…",71
71,0.0,Tue Sep 25 10:03:02 +0000 2018,1.0,0.0,@BBC,0.0,"Who knew eating a pizza could be this filthy? 😂🍕 #QI

https://t.co/eeYWlRL9eV",72
